"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
26022,"ESCUELA ESP. FERNANDA FRIAS RETAMAL","Particular Subvencionado","Soc. Henriquez Y Torres Limitada",13,"RECOLETA","NICOLAS DE GARNICA N° 628","2 - 4559783","escuela2081fernandafrias@gmail.com","no","si","no","no","no","no","no"
26044,"ESCUELA BAS. Y ESP. LIKAN-RAY DE LA PINTANA","Particular Subvencionado","Soc. Educ. Licanray Ltda.",13,"LA PINTANA","LOS PLATANOS N° 35","2 - 28527781","carmenlola@hotmail.com","no","no","no","si","no","no","no"
26064,"ESCUELA ESP. SAN MARTIN","Particular Subvencionado","Sociedad Educacional San Martin Ltda.",13,"LA FLORIDA","CALLE RAMON FREIRE N° 10207","2 - 3180153","escuelasanmartin@vtr.net","no","no","no","si","no","no","no"
26071,"ESCUELA DE PARVULOS Y ESP. DA VINCE","Particular Subvencionado","Carola Andrea Corrales Vidal Eirl",13,"SAN BERNARDO","LUIS SCHMIDT 801 N° 801","2 - 7237494","escueladavince@msn.com","no","no","no","si","no","no","no"
26081,"ESCUELA ESP. DICKENS COLLEGE","Particular Subvencionado","Servicios Educ. Carmen Muñoz Zelada E.I.R.L.",13,"INDEPENDENCIA","AVENIDA SALOMON SACK  N° 686 ESQUINA 18 NORTE","56 - 23570532","dickenscollege@yahoo.es","no","no","no","si","no","no","no"
26084,"COLEGIO EL BOSQUE DE RENCA","Particular Subvencionado","Soc. Educacional Buen Consejo",13,"RENCA","MIRAFLORES N° 7050","2 - 26421630","elba.ovalle@sociedadeducacional.cl","no","no","no","si","no","no","no"
26091,"ESC. ESPECIAL SEMILLITA DE LA FLORIDA","Particular Subvencionado","Soc. Educ. Semillita De La Florida Limitada",13,"LA FLORIDA","GERONIMO DE ALDERETE N° 2126","2 - 4921522","parvulos.semillita@hotmail.com","no","no","no","si","no","no","no"
26093,"ESCUELA ESPECIAL TONKI TONKI TON","Particular Subvencionado","Sociedad Educacional El Monte Ltda",13,"EL MONTE","LOS LIBERTADORES N° 748","2 - 8181066","nataliacevedor@gmail.com","no","no","no","si","no","no","no"
26094,"COLEGIO LAS AMERICAS DE PAINE","Particular Subvencionado","Sociedad Educ. Altoeduca Ltda.",13,"PAINE","PADRE MATEO N°  390 PARCELA 4 Y 7. VILLA LAS AMERICAS","2 - 8243519","colegiolasamericaspaine@gmail.com","no","si","no","si","no","si","no"
26097,"ESCUELA ESP. ALDEBARAN","Particular Subvencionado","Soc. Educ. San Antonio Ltda.",13,"PUENTE ALTO","LUIS MATTE LARRAIN Nº0485","2 - 3182787","pagariz@hotmail.com","no","no","no","si","no","no","no"
26098,"ESCUELA ESPECIAL DANICALIN","Particular Subvencionado","Sociedad Educacional Danicalin Ltda",13,"SAN BERNARDO","SAN JUAN DE DIOS N° 13737","2 - 3600206","danicalin2006@gmail.com","no","no","no","si","no","no","no"
26100,"ESCUELA ESP. EL RIEL","Particular Subvencionado","Centro Educ. Zamorano Y Celis Ltda.",13,"LO ESPEJO","EL RIEL  N° 6453","2 - 5243670","escuela_elriel@hotmail.com","no","no","no","si","no","no","no"
26101,"ESCUELA ESP. INTEGRA","Particular Subvencionado","Colegio Integra  E.I.R.L",13,"PUENTE ALTO","JOSE LUIS COO N° 435","2 - 8491178","escuela.integra@gmail.com","no","si","no","no","no","no","no"
26104,"ESCUELA ESP. TERESIANA DEL ESFUERZO","Particular Subvencionado","Sociedad Educ. Pavez Ardiles Ltda",13,"LA FLORIDA","CALLE ESFUERZO N° 4692","2 - 7254623","escuelateresiana.esfuerzo@mail.com","no","no","no","si","no","no","no"
26106,"ESCUELA ESP. RUTH DE CONCHALI","Particular Subvencionado","Sociedad Educacional  Ruth Limitada",13,"CONCHALÍ","VASCONGADOS  N° 4314","2 - 7287128","escuelaruth@gmail.com","no","no","no","si","no","no","no"
26107,"ESCUELA ESPECIAL BARCELONA","Particular Subvencionado","Sociedad Educacional De Integracion S.A.",13,"MAIPÚ","HERMANOS CARRERA N° 3256","2 - 5323736","escuelabarcelona@gmail.com","no","si","no","no","no","no","no"
26108,"ESC. BAS. Y ESP. SAN ANDRES DE PENAFLOR","Particular Subvencionado","Soc Educacional Santa Cristina Ltda",13,"PEÑAFLOR","VICUNA MACKENNA N° 2460","2 - 24510032","sanandres2460@gmail.com","no","no","no","si","no","no","no"
26111,"ESC. DE PARV. Y ESP. PUKARAY","Particular Subvencionado","Sociedad Establecimiento Educacional Pukaray",13,"BUIN","ARTURO PRAT N° 445","2 - 25179845","pukaray@gmail.com","no","no","no","si","no","no","no"
26113,"ESCUELA ESP. RINCONADA","Particular Subvencionado","Soc. Arratia Y Mendez Educadoras Asociadas Lt",13,"MAIPÚ","AVENIDA RINCONADA N° 1891","2 - 5349960","arratiaymendez@vtr.net","no","no","no","si","no","no","no"
26114,"ESCUELA ESP. LA VILLETE","Particular Subvencionado","Sociedad Educ. Antylen Ltda.",13,"PUENTE ALTO","CALLE LAS FRAMBUESAS Nº884","2 - 28505505","patricia.roga@escuela-lavillette.cl","no","no","no","si","no","no","no"
26116,"ESCUELA ESP. SILABAS","Particular Subvencionado","Educacion Diferencial Spa",13,"PEÑALOLÉN","CAMILO MORI N° 7501","2 - 27230440","escuela.silabas@gmail.com","no","no","no","si","no","no","no"
26121,"ESCUELA ESP. CAMILA BINFA","Particular Subvencionado","Esc. De Lenguaje Claudia Rivas Gomez E.I.R.L.",13,"LA FLORIDA","AVDA.COLOMBIA N° 10507","2 - 3184711","camilabinfa@yahoo.com","no","no","no","si","no","no","no"
26126,"ESC. ESP. MI NUEVO ARLEQUIN","Particular Subvencionado","Hugo Ariel Mayer Echeverría",13,"MAIPÚ","AVENIDA ARGENTINA N° 478","2 - 7238242","mi.nuevo.arlequin@gmail.com","no","no","no","si","no","si","no"
26128,"ESC. DE PARV. Y ESP. KIMANTU DE PENAFLOR","Particular Subvencionado","Cock Cerda Y Compania Limitada",13,"PEÑAFLOR","LO MARQUEZ N° 1073","0 - 28120969","pierocock@hotmail.com","no","no","no","si","no","no","no"
26130,"ESC. BAS. Y ESP. CHRIST SCHOOL DE PUDAHUEL","Particular Subvencionado","Sociedad Christ De Pudahuel Spa",13,"PUDAHUEL","AVENIDA LA TRAVESIA N° 7825","2 - 7476326","christschool.pudahuel@gmail.com","no","no","no","si","no","no","no"
26138,"ESCUELA ESP. TRAGALUZ DEL BOSQUE","Particular Subvencionado","Sociedad Escuela De Lenguaje Tragaluz Ltda.",13,"EL BOSQUE","LAS PARCELAS N° 796","2 - 7802696","colegiotragaluz@hotmail.com","no","si","no","no","no","no","no"
26140,"ESCUELA ESP. ANDALUE","Particular Subvencionado","Sociedad Educacional Andalue Ltda.",13,"PEÑAFLOR","CALLE MIRAFLORES N° 1000","2 - 8123114","colegioandalue@yahoo.es","no","no","no","si","no","no","no"
26144,"ESCUELA ESP. ANTIYAL","Particular Subvencionado","Soc. Educ. San Martin Arratia  Ltda.",13,"SAN BERNARDO","CALLE BULNES N° 667","2 - 27236146","esclengantiyal@gmail.com","no","no","no","si","no","no","no"
26147,"ESCUELA ESPECIAL N° 2141 ALTA VIDA","Particular Subvencionado","Complejo Educacional Solange Muñoz Avaria Eirl",13,"MAIPÚ","AVENIDA ALTO JAHUEL N° 799","2 - 28813610","altadown21@gmail.com","no","no","no","no","no","no","no"
26148,"ESC. ESP. CENTRO DE RECURSOS SUYAY","Particular Subvencionado","Sociedad Domo Limitada",13,"EL BOSQUE","GRAN AVENIDA N° 12748","2 - 9198689","escueladelenguajesuyay@hotmail.com","no","no","no","si","no","no","no"
26151,"ESCUELA ESP. ACTIVACION DE LA INTELIGENCIA SE","Particular Subvencionado","Educa Sandra Gonzalez Morales E.I.R.L.",13,"PUENTE ALTO","LA LECHERIA N° 3040","9 - 52364456","colegiosendero@yahoo.com","no","si","no","no","no","no","no"
26159,"ESCUELA ESP. ANTUKUYEN DE EL MONTE","Particular Subvencionado","Gabriela De Los Angeles Alvear Delgado Establecimiento Educacional Particular Si",13,"EL MONTE","MOISES CHACON N° 44","2 - 28183562","escuela.antukuyen@gmail.com","no","no","no","si","no","no","no"
26163,"ESCUELA ESPECIAL NEWEN DE PUENTE ALTO","Particular Subvencionado","Sociedad Educacional M & R Limitada",13,"PUENTE ALTO","CALLE JOAQUIN PALACIOS N° 809","2 - 28490061","escuelanewen@yahoo.es","no","no","no","si","no","no","no"
26166,"ESCUELA ESP. PALABRAS MAGICAS","Particular Subvencionado","Centro Educacional Palabras Magicas Spa",13,"PUENTE ALTO","CALLE EL MELI N° 1022","2 - 2658271","infoescuelaespecial@yahoo.com","no","no","no","si","no","no","no"
26169,"ESCUELA ESP. MI ISLITA","Particular Subvencionado","Sociedad ""Centro Educacional Mi Islita Spa """,13,"ISLA DE MAIPO","CALLE DOCTOR LAGOS N° 4470","2 - 28194178","escuelamiislita@hotmail.com","no","no","no","si","no","no","no"
26182,"ESCUELA ESPECIAL TRIPANTU DE LA FLORIDA","Particular Subvencionado","Empresa Daniella F.Parra P. Serv. Educ. Eirl",13,"LA FLORIDA","CALLE LOS MAPUCHES N° 1256","2 - 22879812","daniella_parra30@hotmail.com","no","no","no","si","no","no","no"
26183,"ESCUELA DE PARV. BLANCA NIEVES DE LA FLORIDA","Particular Subvencionado","Patricia Del Carmen Figueroa Herrera E.I.R.L.",13,"LA FLORIDA","MICHAY N° 2197","2 - 2674911","pafig123@hotmail.com","no","no","no","si","no","no","no"
26200,"ESCUELA DE PARV. PUDU","Particular Subvencionado","Educacion Gladys Elizabeth Ibañez Lorca Eirl",13,"MAIPÚ","DEL REY N° 1726","2 - 5325787","escuelapudu@gmail.com","no","no","no","si","no","no","no"
26202,"ESCUELA ESP. MI MUNDO EN PALABRAS DE BUIN","Particular Subvencionado","Sociedad Educacional Franco - Bustos Limitada",13,"BUIN","LOS MAGNOLIOS N° 495","2 - 8246365","karinita_bustos@hotmail.com","no","no","no","si","no","no","no"
26221,"ESCUELA DE PARV. TIO RICO","Particular Subvencionado","Sociedad Educacional Jardin Infantil , Escuela De  Parvulos, Escuela  De  Lengua",13,"LA FLORIDA","SAN PEDRO N° 2169","2 - 2874082","ricosolarltda@hotmail.com","no","no","no","si","no","no","no"
26222,"ESCUELA ESP. SANTA MARIA DE EL BOSQUE","Particular Subvencionado","Sociedad Educacional Santa Maria De El Bosque",13,"EL BOSQUE","JOSE MIGUEL CARRERA N° 12920","2 - 5298236","santamariadelbosque@gmail.com","no","no","no","si","no","no","no"
26224,"ESCUELA ESP. CANTOS NUEVOS","Particular Subvencionado","Sociedad Educ. Educarte Limitada",13,"ESTACIÓN CENTRAL","AVENIDA 5 DE ABRIL N° 6086","2 - 7417447","gmoeguiguren@gmail.com","no","no","no","si","no","no","no"
26227,"ESCUELA ESP. ARCA DE LOS NIÑOS","Particular Subvencionado","Desarrollo Educacional Carlos Esteban Salinas Cortes Eirl",13,"SAN RAMÓN","PARROQUIA N° 1267","2 - 5258050","arcadelosninos@gmail.com","no","no","no","si","no","no","no"
26230,"ESCUELA ESP. SOL NACIENTE","Particular Subvencionado","Centro Educacional Sol Naciente Limitada",13,"LA CISTERNA","SANTA CLARA N° 1131","22 - 5125606","escuela_sol_naciente@yahoo.es","no","no","no","si","no","no","no"
26231,"ESCUELA ESP. ALEGRIA DE NIÑOS","Particular Subvencionado","José Manuel Verdugo Alegría",13,"LA PINTANA","JULIO CHAVEZ N° 13278","2 - 5457053","josemavea2@yahoo.es","no","no","no","si","no","no","no"
26236,"ESCUELA ESP. DIVERSIDAD","Particular Subvencionado","Sociedad Educacional Mim Limitada",13,"LA FLORIDA","OROMPELLO N° 7390","2 - 7692750","escueladiversidad@yahoo.es","no","si","no","no","no","si","no"
26237,"ESCUELA ESPECIAL AGORA","Particular Subvencionado","Soc. Des. Y Gestion Educ. Ltda.",13,"CERRO NAVIA","CAUQUENES N° 6144","2 - 7750715","elagora@vtr.net","no","si","no","no","no","no","no"
26239,"ESCUELA DE PARV. Y ESP. AMANECER DE EL BOSQUE","Particular Subvencionado","Ctro Ed. Katherine Ang. Fernández G. E.I.R.L.",13,"EL BOSQUE","AVENIDA LO MARTINEZ N° 1361","2 - 25288271","escuela.amanecerdelbosque@gmail.com","no","no","no","si","no","no","no"
26240,"ESCUELA ESPECIAL SEMILLITAS DE EL BOSQUE","Particular Subvencionado","Sociedad Educacional Admapu Ltda",13,"EL BOSQUE","CAPITAN AVALOS N° 11643","2 - 25281226","semillita.lenguaje@gmail.com","no","no","no","si","no","no","no"
26241,"ESCUELA ESP. SAN CLEMENTE DE HUECHURABA","Particular Subvencionado","Sociedad Avalos E Hijos Limitada",13,"HUECHURABA","SAN CLEMENTE N° 8046","2 - 27215848","centro.sanclemente@gmail.com","no","no","no","si","no","no","no"
26243,"ESCUELA ESP. SAN CARLOS DE MELIPILLA","Particular Subvencionado","Sociedad Educacional Sn Jose De Melipilla Ltd",13,"MELIPILLA","AV. VICUNA MACKENNA LOTE 7 S/N","2 - 28320259","roctrapp@hotmail.com","no","no","no","si","no","no","no"
26246,"ESCUELA ESP. PROFESORA ELSA BENITEZ","Particular Subvencionado","Manuel Peña Zenteno Educ. Louta Eirl",13,"RENCA","ESMERALDA N° 1440","2 - 6426749","escuelaelsabenitez2194@hotmail.com","no","no","no","si","no","no","no"
26252,"ESCUELA ESP. SAN BERNARDO","Particular Subvencionado","Sociedad Educacional Seguel Y Valdivia Ltda.",13,"SAN BERNARDO","18 DE SEPTIEMBRE N° 683","2 - 8575046","juan.seguel2006@gmail.com","no","si","no","si","no","no","no"
26255,"ESCUELA ESP. CLEMENTE DE JESUS","Particular Subvencionado","Sociedad Educacional G&T Limitada",13,"EL BOSQUE","RENGO N° 10190","2 - 5598936","esc_clementedejesus@hotmail.com","no","si","no","no","no","no","no"
26256,"ESCUELA ESP. PLAZUELA ENCANTADA","Particular Subvencionado","Sociedad Educacional Crismar Spa",13,"PUENTE ALTO","BERMEO N° 05291 CONJUNTO PLAZUELA LOS TOROS","2 - 7914475","plazuelaencantada@gmail.com","no","no","no","si","no","no","no"
26257,"ESCUELA ESP. FLORECER","Particular Subvencionado","Sociedad Educacional Crecer Ltda.",13,"MELIPILLA","YECORA N° 154","2 - 8326943","florecerescuela@gmail.com","no","no","no","si","no","no","no"
26259,"ESCUELA ESP. ANTOBEL","Particular Subvencionado","Sociedad Educacional G6 Ltda.",13,"LA FLORIDA","CALLE JOHN KENNEDY N° 169","2 - 2828892","directoa@antobel.cl","no","si","no","no","no","no","no"
26261,"ESCUELA ESP. SANTA CATALINA DE TALAGANTE","Particular Subvencionado","Sociedad Educacional Santa Maria Ltda",13,"TALAGANTE","LOS TULIPANES VILLA LAS HORTENSIAS. N° 1862","2 - 8157244","cariloguercio@hotmail.com","no","no","no","si","no","no","no"
26262,"CENTRO EDUC. ESPECIAL HANS ASPERGER","Particular Subvencionado","Margarita De Las Mercedes Mendoza Campos",13,"LA FLORIDA","VICENTE VALDES N° 770","2 - 2864986","escuelahansasperger@gmail.com","no","no","no","no","no","si","no"
26263,"ESCUELA ESP. EL PALACIO DE LOS NIÑOS DE SAN B","Particular Subvencionado","Escuela Educadora Laudelina Araneda S.A.",13,"SAN BERNARDO","NOGALES N° 37","2 - 8562201","escueladelenguajepalacio@hotmail.com","no","si","no","si","no","no","no"
26264,"ESCUELA ESP. SEMILLITA DE RECOLETA","Particular Subvencionado","Sociedad Educacional Nuñez Duarte Liimitada",13,"RECOLETA","ZAPADORES N° 1024","2 - 6253066","lenguajesemillita@hotmail.com","no","no","no","si","no","no","no"
26267,"ESCUELA ESP. RUCA RAYEN","Particular Subvencionado","Fundacion Educacion Coanil",13,"LA REINA","AVENIDA ALCALDE FERNANDO CASTILLO VELASCO N° 9940","2 - 2753650","apizarro@coanil.cl","no","no","no","no","no","si","no"
26270,"ESCUELA ESP. ARCOIRIS DE BUIN","Particular Subvencionado","Marina Del Carmen Riquelme Cifuentes",13,"BUIN","SERRANO N° 90","2 - 28220868","esarcoiris@gmail.com","no","no","no","si","no","no","no"
26273,"ESCUELA ESP. MONTE CARMELO DE MAIPU","Particular Subvencionado","Erika Eleodora Solís Aravena",13,"MAIPÚ","AVENIDA PORTALES N° 285","2 - 5348490","direccionmontecarmelo@gmail.com","no","si","no","no","no","no","no"
26275,"ESCUELA ESPECIAL KITARI","Particular Subvencionado","Sociedad Educacional Ferreira Lopez Ltda",13,"LAMPA","AVENIDA LA HACIENDA  N° 2120 Y 2130","2 - 7283006","escuelakitari@hotmail.com","no","no","no","si","no","no","no"
26276,"ESCUELA ESP. NIÑO JESUS DE SAN JOAQUIN","Particular Subvencionado","Servicios Educ. Ana Marìa Sallés Guerrero Eirl",13,"SAN JOAQUÍN","TOMAS DE CAMPANELLA N° 4986","2 - 7915838","escuela.ninojesus@gmail.com","no","no","no","si","no","no","no"
26281,"ESCUELA ESPECIAL EL TREBOL","Particular Subvencionado","Sociedad Educacional El Trebol Ltda.",13,"PADRE HURTADO","CALLE ALBERTO BLEST GANA N° 738","2 - 8114399","catalina.gatica@gmail.com","no","no","no","si","no","no","no"
26289,"ESCUELA ESP. DESPERTARES DE PEDRO AGUIRRE CER","Particular Subvencionado","Escuela De Lenguaje Magaly Cespedes Eirl",13,"PEDRO AGUIRRE CERDA","ENRIQUE MATTE N° 1726","2 - 7236657","escuela.despertares@gmail.com","no","no","no","si","no","no","no"
26299,"ESCUELA ESP. EPUMALEN","Particular Subvencionado","Soc. Servicios Educacionales Veronica Betsabe",13,"RECOLETA","VICTOR CUCCUINI N° 590","2 - 26215490","epumalen@gmail.com","no","si","no","no","no","no","no"
26306,"ESC. ESP. DE COLORES PANDO","Particular Subvencionado","Empresa Educacional Rossana Herrera Sepulveda E.I.R.L.",13,"MACUL","FROILAN ROA N° 5790","2 - 2214009","rossanapandora@yahoo.es","no","no","no","si","no","no","no"
26309,"ESCUELA ESPECIAL  MAGOS","Particular Subvencionado","Soc. Escuela De Lenguaje Tatiana Reyes Y Cia.",13,"RECOLETA","AV. RECOLETA N° 2093","2 - 8331548","directora.magos@gmail.com","no","no","no","si","no","no","no"
26316,"ESCUELA ESP. ALTUE DE CERRO NAVIA","Particular Subvencionado","Maria Pedraza Herrera Servicios Educacionales",13,"CERRO NAVIA","GALVARINO N° 1477","2 - 6675551","escuela.altue@gmail.com","no","no","no","si","no","no","no"
26317,"ESCUELA  ESPECIAL  DE  LENGUAJE N° 2235,  ANTÚ KÚYEN","Particular Subvencionado","Parvularia Yunari Bobadilla  Molina E.I.R.L.",13,"CERRILLOS","CARRIEL SUR N° 3064, CERRILLOS","2 - 8237493","yunarybobadilla@hotmail.com","no","no","no","si","no","no","no"
26318,"ESCUELA ESPECIAL SANTA RITA DE CASIA DE LA GR","Particular Subvencionado","Sociedad Educacional Santa Rita De Casia",13,"LA GRANJA","HUASCO N° 7966","2 - 5267512","staritadecasia7966@gmail.com","no","si","no","no","no","no","no"
26320,"ESC. ESP. CORAZON DE JESUS DE SAN BERNARDO","Particular Subvencionado","Sociedad Educacional Corazon De Jesus Ltda.",13,"SAN BERNARDO","GUAFO  N° 1830","2 - 9818684","yeseniaeducadora@yahoo.es","no","no","no","si","no","no","no"
26323,"THE ALMOND SCHOOL III","Particular Subvencionado","Marcelo Antonio Sanhueza Cisterna Servicio Educ. Eirl",13,"LA PINTANA","CELANOVA - VILLA SAN FRANCISCO N° 1554","2 - 5434827","thealmondschool@gmail.com","no","no","no","si","no","no","no"
26327,"ESC. ESP. ANTILAF DE PEÑAFLOR","Particular Subvencionado","Soc. Educacional San Jose De Talagante Ltda.",13,"PEÑAFLOR","AVENIDA ROSALES N° 870","2 - 8149693","direccionantilaf@gmail.com","no","si","no","no","no","no","no"
26330,"ESC. ESP. PEUMAYEN DE MAIPU N°2","Particular Subvencionado","Sociedad Educacional Isepa Limitada",13,"MAIPÚ","CHACABUCO N° 530","2 - 5323429","jardinpeumayen@gmail.com","no","no","no","si","no","no","no"
26334,"ESC. ESP. EL CANELO DE PUENTE ALTO","Particular Subvencionado","Sociedad Educacional El Canelo Limitada",13,"PUENTE ALTO","EDUARDO CORDERO N° 138","2 - 8856660","escuela.canelo@gmail.com","no","no","no","si","no","no","no"
26337,"ESCUELA ESPECIAL ADAES","Particular Subvencionado","Agrupacion Deportiva De Atlateas Especiales",13,"LA CISTERNA","AVENIDA EL PARRON  N° 0939. LA CISTERNA","2 - 5481951","escuelaadaes@gmail.com","no","si","no","no","no","no","no"
26344,"ESCUELA DE PARVULOS Y ESPECIAL CRISOL DE EL","Particular Subvencionado","Pelusita Servicios Educacionales E.I.R.L.",13,"EL BOSQUE","BAQUEDANO  N° 9543","2 - 5598620","pelusita1847@yahoo.es","no","no","no","si","no","no","no"
26347,"ESC. ESP. SANTA GEMA GALGANI","Particular Subvencionado","Escuela De Lenguaje Gema Monica Garcia Caceres E.I.R.L",13,"SAN BERNARDO","LIBERTAD N° 1675","2 - 8579012","directorasantagema@gmail.com","no","no","no","si","no","no","no"
26349,"ESC ESP. CENTROS DE RETOS MULTIPLES LUZ Y ESP","Particular Subvencionado","Fundacion Educacion Coanil",13,"BUIN","PRESIDENTE FEDERICO ERRÁZURIZ N° 0674, SECTOR LAS TURBINAS, COMUNA DE BUIN","2 - 5179222","ueluzyesperanza@coanil.cl","no","si","no","no","no","si","no"
26350,"ESCUELA ESP. SAN MARTIN DE PORRES","Particular Subvencionado","Soc. Educativa San Martín De Porres Ltda.",13,"CERRO NAVIA","LO DUARTE N° 1936","2 - 7732839","directorasmporres@gmail.com","no","si","no","no","no","no","no"
26351,"ESCUELA ESPECIAL N°2253 ANTULAF","Particular Subvencionado","Soc. Educacional Antulaf Ltda.",13,"LA CISTERNA","HURTADO DE MENDOZA Nº 8986","22 - 5487764","escueladelenguajeantulaf@gmail.com","no","no","no","si","no","no","no"
26354,"ESCUELA ESP. ALTAZOR DE ESTACION CENTRAL","Particular Subvencionado","Corporacion Educacional Integral Altazor",13,"ESTACIÓN CENTRAL","ANTÁRTICA N° 4310","56 - 27643483","escuelaintegralaltazor@gmail.com","no","no","no","si","no","no","no"
26355,"ESCUELA DE LENGUAJE MILLARAHUE","Particular Subvencionado","Sociedad Educacional Millarahue",13,"HUECHURABA","AVENIDA PEDRO AGUIRRE CERDA 6291 N° 6291","2 - 6252997","escuelamillarahue@hotmail.com","no","no","no","si","no","no","no"
26356,"ESCUELA ESPECIAL N° 2258 NIÑO JESUS DE LA GR","Particular Subvencionado","Monica Rojas Establ. Educ. Eirl",13,"LA GRANJA","PEDRO LIRA   0888  VILLA LOS PENSAMIENTOS","2 - 5461694","lilianarojasg2004@yahoo.es","no","no","no","si","no","no","no"
26357,"ESCUELA ESPECIAL UN MUNDO DE PALABRAS","Particular Subvencionado","Soc. Educ. Un Mundo De Palabras Ltda",13,"QUILICURA","GUARDIA MARINA RIQUELME N° 223","2 - 6275244","escuelaunmundodepalabras@gmail.com","no","no","no","si","no","no","no"
26358,"ESCUELA ESPECIAL CREA","Particular Subvencionado","Maria Vilo Frias Servicios Educacionales E.I.R.L.",13,"EL MONTE","AVENIDA LOS LIBERTADORES N° 791-B","2 - 8184269","escueladiferencialcrea@gmail.com","no","si","no","no","no","no","no"
26359,"ESCUELA ESPECIAL GABRIELA RUBIO","Particular Subvencionado","Sociedad Educacional Gabriela Rubio Limitada",13,"LA CISTERNA","RAMON CARVALLO ORREGO N° 129","2 - 5582800","rosvalgeav@hotmail.com","no","no","no","si","no","no","no"
26361,"ESC. ESP. EL PRINCIPITO DE LA FLORIDA","Particular Subvencionado","Centro De Capacitacion Integral Susan Angelica Rios Gonzalez Eirl",13,"LA FLORIDA","AVDA. ARGENTINA N° 8648","2 - 2918283","escuelaelprincipito@gmail.com","no","no","no","si","no","no","no"
26364,"ESCUELA ESPECIAL N°165 MONTESOL","Particular Subvencionado","Corporacion Educacional Montesol De Buin",13,"BUIN","CAMINO PADRE HURTADO 6636 LOCALIDAD EL MONTE, COMUNA DE BUIN","2 - 8221553","escuela.montesol@gmail.com","no","no","no","si","no","no","no"
26370,"ESC. ESP. SAN ANTONIO DE LO PRADO","Particular Subvencionado","Centro Educacional San Antonio Spa",13,"LO PRADO","FORT DODGE N° 158","2 - 6432864","escuelaespecialdelenguajesanantonio13@gmail.com","no","no","no","si","no","no","no"
26373,"ESCUELA DE PARVULOS Y ESPECIAL SANTA TERESA","Particular Subvencionado","Sociedad Educacional Santa Teresa De Puente Alto Limitada",13,"PUENTE ALTO","RADAL N° 702","2 - 8338603","sandrautp@yahoo.es","no","no","no","si","no","no","no"
26382,"ESCUELA ESPECIAL SANTA BLANCA","Particular Subvencionado","Silvia Loreto Zambrano Marcos",13,"LO BARNECHEA","AVENIDA LO BARNECHEA N° 1136","2 - 22168245","lenguajesantablanca@gmail.com","no","no","no","si","no","no","no"
26386,"ESCUELA ESP. ANDELEN","Particular Subvencionado","Geraldine Varas Veas Educacion E.I.R.L",13,"PUENTE ALTO","AV.LAJA  POBLACIÓN BASCUÑAN N° 352","2 - 29205027","varas.escuela@gmail.com","no","no","no","si","no","no","no"
26388,"ESCUELA ESP. SAN CRISTOBAL DE PUENTE ALTO","Particular Subvencionado","Pamela Carolina San Martin Hernandez Escuelas Especiales E.I.R.L",13,"PUENTE ALTO","OLIVILLO N° 614","2 - 28489137","lenguajesancristobal@hotmail.com","no","no","no","si","no","no","no"
26393,"ESCUELA DE PARVULOS EL CANELO DE EL BOSQUE","Particular Subvencionado","Sociedad Jara Y Mansilla Ltda",13,"EL BOSQUE","ELEUTERIO RAMÍREZ N° 10179","2 - 5470989","direccionelcanelo@gmail.com","no","no","no","si","no","no","no"
26395,"ESCUELA DE PARVULOS Y ESPECIAL SAN FRANCISCO","Particular Subvencionado","Sociedad Educacional Vidal Y Velasquez Ltda.",13,"MAIPÚ","HERNAN BRAVO CRUZ  N°1150","2 - 9206302","patriciasandoval2005@gmail.com","no","no","no","si","no","no","no"
26396,"ESCUELA ESPECIAL 2274 MATER","Particular Subvencionado","Sociedad Educacional R Y S Limitada",13,"QUILICURA","AV. LAS TORRES N° 116","0 - 8912992","psp_yani@hotmail.com","no","no","no","si","no","no","no"
26397,"ESCUELA ESP. DE LENGUAJE CARAMELO","Particular Subvencionado","Corporacion Educacional Carmelo",13,"PUENTE ALTO","CAMINO DEL AGUA N° 4377","2 - 7558430","escuelacaramelo@gmail.com","no","no","no","si","no","no","no"
26406,"ESCUELA ESPECIAL N° 2278 NUESTRAS HUELLAS","Particular Subvencionado","Empresa Educ. Huellas Jessica M. Sepulveda B.",13,"ÑUÑOA","EXZEQUIEL FERNANDEZ N° 976","2 - 7106478","jessicasepulveda4@hotmail.com","no","no","no","si","no","no","no"
26407,"ESCUELA ESP SANTA INES DE LA PAZ","Particular Subvencionado","Corporacion Educacional Santa Maria De La Paz",13,"MELIPILLA","SLVA CHAVEZ  N° 1360 MELIPILLA","2 - 8315798","escuelitasantainesdelapaz@gmail.com","no","no","no","si","no","no","no"
26408,"ESC.ESPECIAL Nº 2279 SAN EXPEDITO DE LAMPA","Particular Subvencionado","Soc. Educ. Santa Catalina Laboure Ltda.",13,"LAMPA","AVENIDA LOS HALCONES N° 759","2 - 7283031","lenguajesanexpedito@hotmail.com","no","no","no","si","no","no","no"
26409,"ESCUELA RUCAMALEN DE EL BOSQUE INES VILLANUEVA E.I.R.L.","Particular Subvencionado","Escuela Rucamalen Ines Villanueva E.I.R.L.",13,"EL BOSQUE","AV OCHAGAVIA N° 1512","2 - 25611171","rucamalen13@yahoo.es","no","no","no","si","no","no","no"
